2014/2/17,,116,1,1272,ＶＶＦケーブル　１．６ｍｍ ２Ｃ,22,昭和電線,200,6,37,7400,,2,1,2
2014/2/17,,116,1,183,ＶＶＦケーブル　２．０ｍｍ ２Ｃ,22,昭和電線,100,6,68,6800,,2,1,2
2014/2/20,,117,1,932,６００Ｖ　ＣＶケーブル　５．５ｍｍ２ ４Ｃ,1,,10,6,313,3130,,1,1,3
2014/2/20,,117,1,933,６００Ｖ　ＣＶケーブル　８ｍｍ２ ４Ｃ,1,,40,6,396,15840,,1,1,3
2014/2/20,,117,1,935,６００Ｖ　ＣＶＴケーブル　１００ｍｍ２,1,,10,6,3103,31030,,1,1,3
2014/2/20,,118,1,244,プチスリムサーキットブレーカ,1,,2,3,427,854,900,1,1,3
2014/2/20,,118,1,493,引掛防雨コンセント　接地３Ｐ２０Ａ,1,,1,3,1346,1346,2300,1,1,3
2014/2/19,,119,1,183,ＶＶＦケーブル　２．０ｍｍ ２Ｃ,22,昭和電線,700,6,67,46900,,2,1,2
2014/2/19,,119,1,184,ＶＶＦケーブル　２．０ｍｍ ３Ｃ,1,,400,6,105,42000,,2,1,2
2014/2/19,,120,1,756,ＰＦ管１６　ベージュ　５０ｍ,1,,1,10,3800,3800,9080,1,1,3
2014/2/19,,121,1,756,ＰＦ管１６　ベージュ　５０ｍ,1,,1,10,2375,2375,9080,1,1,3
2014/2/21,,122,1,236,サーキットブレーカ　３Ｐ２０Ａ　協約形,4,日東工業,5,3,1850,9250,3700,2,1,2
2014/2/21,,122,1,940,６００Ｖ　ＩＶ電線　２．０ｍｍ(緑),24,,300,6,43,12900,,2,1,2
2014/2/26,,123,1,662,ウォータークーラー,1,,1,2,81778,81778,137000,6,1,6
2014/2/27,,125,1,1,,1,,1,3,934,934,,5,1,5
2014/2/28,,127,1,1,,1,,2,8,475,950,,4,1,4
2014/3/5,,129,1,57,卓上型マイク,1,,1,3,5040,5040,8000,2,1,2
2014/3/5,,129,1,58,簡易型アンプ　１５Ｗ　１局,1,,1,2,20800,20800,33000,2,1,2
2014/3/5,,129,1,55,天井埋込型スピーカー　３Ｗ,1,,1,3,2770,2770,4400,2,1,2
2014/3/5,,129,1,56,天井埋込型スピーカー用パネル　丸型,1,,1,3,1390,1390,2200,2,1,2
2014/3/3,,132,1,1,,1,,1,4,1125,1125,,4,1,4
2014/3/3,,132,1,1,,1,,4,3,36,144,,4,1,4
2014/3/3,,133,1,1,,1,,4,3,43,172,,4,1,4
2014/3/7,,134,1,773,ワゴンモール(アルミ),1,,2,4,1120,2240,2000,2,1,2
2014/3/7,,134,1,1272,ＶＶＦケーブル　１．６ｍｍ ２Ｃ,22,昭和電線,100,6,38,3800,,2,1,2
2014/2/20,,137,1,236,サーキットブレーカ　３Ｐ２０Ａ　協約形,4,日東工業,3,3,1750,5250,3700,1,1,3
2014/2/20,,137,1,195,配線用遮断器　３Ｐ２０Ａ,1,,2,3,1750,3500,3680,1,1,3
2014/2/13,,140,1,786,プールボックス　４００×４００×３００　ベージュ,1,,1,3,11320,11320,24000,1,1,3
2014/2/14,,141,1,217,,1,,3,3,99,297,,1,1,3
2014/2/14,,141,1,218,,1,,3,3,99,297,,1,1,3
2014/2/14,,141,1,997,端子キャップ　６０　青,1,,3,3,19,57,,1,1,3
2014/2/14,,141,1,999,ビニールテープ(黒)　１９ｍｍ×２０ｍ,1,,10,8,100,1000,,1,1,3
2014/2/7,,142,1,933,６００Ｖ　ＣＶケーブル　８ｍｍ２ ４Ｃ,1,,30,6,418,12540,,1,1,3
2014/2/7,,142,1,933,６００Ｖ　ＣＶケーブル　８ｍｍ２ ４Ｃ,1,,30,6,418,12540,,1,1,3
2014/3/5,,143,1,461,引掛コンセント　接地２Ｐ１５Ａ　ブラック,1,,1,3,314,314,440,5,1,5
2014/3/5,,143,1,1,,1,,1,3,15,15,,5,1,5
2014/3/5,,143,1,1,,1,,3,3,14,42,,5,1,5
2014/3/6,,144,1,1,,1,,1,3,2458,2458,,4,1,4
2014/3/11,,145,1,1,,1,,1,3,490,490,,5,1,5
2014/3/11,,145,1,1,,1,,1,3,250,250,,5,1,5
2014/3/11,,145,1,1,,1,,4,4,400,1600,,5,1,5
2014/3/11,,145,1,1,,1,,4,4,255,1020,,5,1,5
2014/3/13,,146,1,1,外注費,1,,1,12,20000,20000,,3,2,3
2014/3/13,,147,1,1,外注費,1,,1,12,8000,8000,,3,2,3
2014/3/13,,148,1,1,外注費,1,,1,12,8000,8000,,3,2,3
2014/3/13,,149,1,1,外注費,1,,1,12,8000,8000,,3,2,3
2014/3/13,,150,1,1,外注費,1,,1,12,450000,450000,,3,2,3
2014/3/13,,151,1,1,外注費,1,,1,12,60000,60000,,3,2,3
2014/3/13,,152,1,1,,1,,4,4,355,1420,,5,1,5
2014/3/13,,152,1,1,,1,,4,4,430,1720,,5,1,5
2014/3/13,,152,1,1,,1,,4,3,35,140,,5,1,5
2014/3/13,,152,1,1,,1,,4,3,55,220,,5,1,5
2014/3/13,,152,1,1,,1,,8,3,16,128,,5,1,5
2014/3/13,,152,1,1,,1,,4,3,17,68,,5,1,5
2014/3/13,,152,1,1,,1,,8,3,32,256,,5,1,5
2014/3/13,,152,1,1,,1,,4,3,29,116,,5,1,5
2014/3/11,,153,1,1,,1,,1,5,346,346,,5,1,5
2014/3/13,,154,1,1,引込柱工事,1,,1,12,128000,128000,,29,2,29
2014/3/13,,155,1,1272,ＶＶＦケーブル　１．６ｍｍ ２Ｃ,22,昭和電線,100,6,38,3800,,2,1,2
2014/3/13,,156,1,3,赤外線ワイヤレスマイク,1,,1,4,17500,17500,,,1,1
2014/3/13,,156,1,2,赤外線ワイヤレストランスミッター,1,,1,3,24500,24500,,,1,1
2014/3/13,,156,1,1374,赤外線パワードアンプ,1,,1,2,61600,61600,,,1,1
2014/3/10,,157,1,170,ナイスハット,41,,10,3,36,360,72,2,1,2
2014/3/10,,157,1,598,ワイド２１　埋込ほたるスイッチＢ,2,パナソニック電工,10,3,265,2650,430,2,1,2
2014/3/10,,157,1,593,ワイド２１　スイッチ金属取付枠,2,パナソニック電工,20,3,33,660,60,2,1,2
2014/3/10,,157,1,453,ワイド２１　埋込ホーム用テレビターミナル(電流通過形),2,パナソニック電工,10,3,495,4950,870,2,1,2
2014/3/10,,158,1,306,エアコン架台壁面用・溶融亜鉛メッキ,1,,1,13,3690,3690,8200,2,1,2
2014/3/13,,159,1,1,,1,,1,7,375,375,,4,1,4
2014/3/13,,159,1,1,,1,,2,7,198,396,,4,1,4
2014/3/13,,159,1,1,,1,,2,7,198,396,,4,1,4
2014/3/17,,162,1,1,,1,,1,7,375,375,,4,1,4
2014/3/17,,162,1,1,,1,,4,7,198,792,,4,1,4
2014/3/17,,162,1,1,,1,,5,7,198,990,,4,1,4
2014/3/19,,163,1,364,メタルモール本体Ａ型　１．８ｍ,1,,7,4,738,5166,1360,2,1,2
2014/3/19,,163,1,368,メタルモールジョイントキャップＡ型,2,,5,3,36,180,66,2,1,2
2014/3/19,,163,1,367,メタルモールブッシングＡ型,2,パナソニック電工,8,3,39,312,71,2,1,2
2014/3/19,,163,1,369,メタルモールコーナーボックスＡ型,2,パナソニック電工,4,3,374,1496,680,2,1,2
2014/3/19,,163,1,372,メタルモール１コ用スイッチボックス　Ａ型　浅型,1,,4,3,481,1924,875,2,1,2
2014/3/19,,163,1,504,埋込ダブルコンセント,2,パナソニック電工,2,3,165,330,260,2,1,2
2014/3/19,,163,1,557,新金属プレート３コ用,2,パナソニック電工,1,5,190,190,300,2,1,2
2014/3/20,,165,1,1,外注費,1,,1,12,20000,20000,,3,2,3
2014/3/20,,166,1,1,外注費,1,,1,12,12000,12000,,8,2,8
2014/3/20,,167,1,1,外注費,1,,1,12,9000,9000,,9,2,9
2014/3/20,,168,1,1,外注費,1,,1,12,15000,15000,,8,2,8
2014/3/11,,126,1,402,天埋換気扇(樹脂)低騒音・ルーバーセット,1,,1,2,6000,6000,13800,1,1,3
2014/3/20,,164,1,962,マイク混合器,1,,1,3,6310,6310,,7,1,7
2014/3/25,,170,1,198,ルームエアコン　３．６ｋＷ　１００Ｖ,1,,1,2,63010,63010,,,1,1
2014/3/26,,172,1,436,ＬＥＤデスクスタンド　ブラック仕上,1,,6,2,3370,20220,,11,1,11
2014/3/26,,171,1,941,ＶＶＦケーブル　１．６ｍｍ ２Ｃ,1,,300,6,40,12000,,1,1,3
2014/3/26,,171,1,942,ＶＶＦケーブル　２．０ｍｍ ２Ｃ,1,,800,6,71,56800,,1,1,3
2014/3/26,,169,1,41,４５形ＢＳ・１１０度ＣＳアンテナ,1,,1,11,4500,4500,,2,1,2
2014/3/27,,173,1,1,仮設配管工事,1,,1,12,23000,23000,,12,2,12
2014/3/27,,174,1,1,配管工事,1,,1,12,14000,14000,,12,2,12
2014/3/27,,175,1,1,発電機レンタル,1,,1,12,97500,97500,,13,1,13
2014/3/27,,176,1,1,軽油　３３８�,1,,1,12,48334,48334,,14,1,14
2014/3/31,,177,1,712,ＭＳＯ Ｎ１１形　電磁開閉器　０．７５Ｋｗ　２００Ｖ,1,,2,3,2500,5000,6910,1,1,3
2014/3/20,,183,1,1,ウォータークーラー文字入れ,1,,1,12,4000,4000,,,2,1
2014/3/20,,184,1,1,高所作業車代,1,,1,12,8000,8000,,15,1,15
2014/3/20,,185,1,1,,1,,1,12,,,,15,1,15
