98,上越笹原歯科医院スラブヒーター電気工事,2011/7/11,33,2011/6/2,2011/9/22
99,ファンヒーター給油ポンプ納品,2011/11/1,3,,
100,ＥＺｃａｆｅ新潟駅南店水銀灯配線改修,2011/10/15,2,,
101,ＮＭＩ会長室改装工事,2011/11/9,2,,
102,多目的ホール床ピット内ブレーカ取替工事,2011/11/14,5,,
103,(株)ノーリツ　太陽光発電システムＰＶ施工認定研修,2011/10/1,24,,
104,レストランメッセピア厨房機器増設に伴う電気設備工事,2011/11/1,5,,
105,高等部職員室照明器具取替,2011/11/10,4,,
106,(株)タナカ様社屋改装工事,2011/10/30,31,,
107,年末刃物特価市2011電気設備工事,2011/11/1,5,2011/11/30,2011/12/5
108,蛍光灯納品2011年11月分,2011/11/1,5,2011/11/1,2011/11/30
109,中学部３年２組照明器具取替,2011/12/1,4,,
110,化学準備室照明器具漏電修理,2011/11/1,3,,
111,放送設備修理,2011/11/10,3,,
112,地学教室黒板灯取替,2011/11/10,3,,
113,階段照明器具修理,2011/12/1,3,,
114,佐藤様邸新築工事,2011/11/10,2,,
20120001,リサーチコア音響設備等点検,2012/1/16,5,,
20120002,メッセピア音響設備等点検,2012/1/16,5,,
20120003,柔剣道場照明器具修理,2012/1/16,3,,
20120004,理科講義室照明器具取替,2012/1/16,3,,
20120005,体育教官室照明器具取替,2012/1/30,3,,
20120006,リサーチコアサーバールーム空調機交換修理,2012/2/1,5,,
20120007,蛍光灯納品2012年2月分,2012/2/5,5,,
20120008,動力用延長コード修理,2012/2/5,5,,
20120009,展示ケース照明器具修理,2012/2/5,5,,
20120010,殺菌灯ランプ納品,2012/2/5,4,,
20120011,北野水産浄化槽制御盤内マグネットスイッチ取替工事,2011/12/1,37,,
20120012,コロナ中央物流センターポンプ結線,2012/2/10,37,,
20120013,北海道の味覚と全国うまいもの市電気工事,2012/1/20,38,,
20120014,ワイヤレスマイクロホン納品,2012/2/16,5,,
20120015,委託室照明器具取替,2012/2/28,4,,
20120016,山宮様邸　新築そっくりさん工事,2012/2/1,6,,
20120017,「王風珍」改装工事,2012/3/9,2,2012/3/2,2012/3/29
20120018,真野邸トイレ改装工事,2012/3/2,12,,
20120019,多目的ホール調整室漏電修理,2012/3/19,5,,
20120020,阿部様邸　新築そっくりさん工事,2012/3/1,6,,
20120021,高等部３年２組照明器具取替,2012/3/1,4,,
20120022,常浪第1MP場投込圧力式水位計取替修繕,2012/3/1,18,,
20120023,家具内コンセント等取付,2012/3/19,31,,
20120024,事務所内床配線処理,2012/4/2,5,,
20120025,新潟県信用保証協会照明器具修理,2012/4/4,5,,
20120026,蛍光灯納品2012年4月分,2012/4/3,5,,
20120027,通用口照明器具設置工事,2012/4/4,31,,
20120028,真野邸別宅トイレ改装工事,2012/4/7,12,,
20120029,旭町クリエーションビルアンテナ移設他工事,2012/4/10,2,,
20120030,ＪＯＹ様ブラケット取替工事,2012/4/10,2,,
20120031,蛍光灯納品2012年5月分,2012/5/1,5,,
20120032,辻本皮膚科新築工事,2012/4/23,2,2012/2/15,2012/5/30
20120033,「ＥＺｃａｆｅ」現状回復工事,2012/5/18,2,2012/5/19,2012/5/31
20120034,黒坂様邸電気設備工事,2012/5/7,24,,
20120035,山本様邸電気設備工事,2012/5/7,24,,
20120036,展示ケース修理,2012/5/7,5,,
20120037,蛍光灯納品2012年6月分,2012/6/1,5,2012/6/1,2012/6/30
20120038,シエスタ様電気設備改修工事,2012/5/20,2,,
20120039,屋外時計修理,2012/5/31,40,,
20120040,蛍光灯納品,2012/6/6,4,,
20120041,エアコン取付工事,2012/6/1,19,,
20120042,休憩室エアコン取付工事,2012/6/13,7,,
20120043,電気部品納品,2012/6/1,24,,
20120044,看板灯ランプ取替,2012/7/1,22,,
20120045,冨所様邸　新築そっくりさん工事,2012/6/1,6,,
20120046,蛍光灯納品2012年7月分,2012/7/1,5,2012/7/1,2012/7/31
20120047,エアコン取替工事,2012/7/3,22,,
20120048,照明器具取替工事,2012/7/2,26,,
20120049,ＬＥＤ設置工事(盛岡渋民店),2012/7/5,41,2012/7/7,2012/7/16
20120050,各所電気設備修理,2012/7/21,26,,
20120051,事務所内照明器具増設工事,2012/7/23,24,,
20120052,新潟県信用保証協会　県央支店　サーバー室新設に伴う内部改修工事,2012/7/17,42,,2012/7/31
20120053,小林小学校特別教師棟トイレ改修電気設備工事,2012/7/17,42,,2012/9/30
20120054,動力用参考メーター取付,2012/7/17,5,,
20120055,平成24年度三条商業高等学校プログラムチャイム交換修理,2012/7/25,40,,2012/8/28
20120056,中之島第３揚水機場パトライト取替工事,2012/7/26,18,,
20120057,エアコン化粧カバー納品,2012/8/1,24,,
20120058,新潟井関外階段配管取外し再取付,2012/8/1,24,,
20120059,手伝い,2012/7/27,42,2012/7/30,2012/8/3
20120060,薄形金属ガードプレート納品,2012/8/17,40,,
20120061,製氷機取替,2012/9/1,3,,
20120062,旭町クリエーションビル共用部漏電ブレーカ取替,2012/8/1,2,,
20120063,「Ｐｏｒｔａ」新装工事,2012/8/1,2,,
20120064,家増来新装工事,2012/8/1,2,,
20120065,展示ケース断線他修理,2012/9/10,5,,
20120066,蛍光灯納品2012年9月分,2012/9/1,5,,
20120067,佐藤様邸　新築そっくりさん工事,2012/8/1,6,,
20120068,蛍光灯納品2012年10月分,2012/10/1,5,2012/10/1,2012/10/31
20120069,佐藤様邸新築工事,2012/9/1,43,,
20120070,ＮＭＩ１階倉庫内電気工事,2012/9/1,2,,
20120071,石田様邸防水コンセント取替,2012/10/11,24,,
20120072,小関様邸エアコン室外機移設他工事,2012/10/18,24,,
20120073,「キャラメル」新築工事,2012/10/1,2,,
20120074,結城堂様改装工事,2012/10/16,2,,
20120075,多目的ホール照明制御装置取替工事,2012/10/10,5,,
20120076,小越様邸　新築そっくりさん工事,2012/10/1,6,,
20120077,屋外水銀灯用自動点滅器取替工事,2012/10/17,40,,
20120078,エバーグリーンリモコンスイッチ取替工事,2012/10/1,43,,
20120079,フォークリフト用電源工事,2012/10/23,31,,
20120080,作業室照明器具移設工事,2012/10/25,31,,
20120081,川瀬様邸電気工事,2012/10/1,44,,
20120082,近藤雄介様宅屋外照明器具取替工事,2012/10/26,46,,
20120083,高野商店図面作製,2012/9/29,42,,
20120084,展示即売場セレクタスイッチ取替工事,2012/10/19,5,,
20120085,ワークセンターしろね図面作成,2012/11/6,42,,
20120086,蛍光灯納品2012年11月分,2012/11/1,5,2012/11/1,2012/11/30
20120087,塚野目薬局エアコン修理,2012/11/2,16,,
20120088,桟敷家新装工事,2012/11/12,2,2012/11/12,2012/12/8
20120089,桂澤様邸　新築そっくりさん工事,2012/11/7,6,,
20120090,海藤様邸　新築そっくりさん工事,2012/11/26,6,,
20120091,大じばさん展電気設備工事,2012/11/25,5,2012/12/5,2012/12/10
